nome,disciplina,disponibilidade
Prof. Silva,"Matemática,Física","Segunda-Manhã,Terça-Manhã,Quarta-Manhã,Quinta-Manhã,Sexta-Manhã"
Prof. Oliveira,Química,"Segunda-Manhã,Terça-Manhã,Quarta-Manhã,Quinta-Manhã,Sexta-Manhã"
Prof. Costa,Biologia,"Segunda-Manhã,Terça-Manhã,Quarta-Manhã,Quinta-Manhã,Sexta-Manhã"
Prof. Pereira,História,"Segunda-Manhã,Terça-Manhã,Quarta-Manhã,Quinta-Manhã,Sexta-Manhã"
Prof. Souza,Geografia,"Segunda-Noite,Terça-Noite,Quarta-Noite,Quinta-Noite,Sexta-Noite"
Prof. Lima,Português,"Segunda-Noite,Terça-Noite,Quarta-Noite,Quinta-Noite,Sexta-Noite"
bananildo,"Matemática,Física","Segunda-Noite,Terça-Noite,Quarta-Noite,Quinta-Noite,Sexta-Noite"
Prof. Martins,Física,"Segunda-Manhã,Terça-Noite,Quarta-Manhã,Quinta-Noite,Sexta-Manhã"
Prof. Ferreira,Química,"Segunda-Noite,Terça-Manhã,Quarta-Noite,Quinta-Manhã,Sexta-Noite"
Prof. Alves,Biologia,"Segunda-Manhã,Terça-Manhã,Quarta-Noite,Quinta-Noite,Sexta-Manhã"
Prof. Gomes,História,"Segunda-Noite,Terça-Noite,Quarta-Manhã,Quinta-Manhã,Sexta-Noite"
Prof. Cardoso,Geografia,"Segunda-Manhã,Terça-Noite,Quarta-Manhã,Quinta-Noite,Sexta-Manhã"
Prof. Rocha,Português,"Segunda-Manhã,Terça-Manhã,Quarta-Manhã,Quinta-Manhã,Sexta-Noite"
Prof. Barbosa,"Matemática,Física","Segunda-Noite,Terça-Noite,Quarta-Noite,Quinta-Noite,Sexta-Noite"
Prof. Santos,Química,"Segunda-Manhã,Terça-Noite,Quarta-Manhã,Quinta-Manhã,Sexta-Noite"
Prof. Ribeiro,Biologia,"Segunda-Noite,Terça-Manhã,Quarta-Noite,Quinta-Manhã,Sexta-Manhã"
Prof. Monteiro,História,"Segunda-Manhã,Terça-Noite,Quarta-Noite,Quinta-Noite,Sexta-Manhã"
Prof. Dias,Geografia,"Segunda-Noite,Terça-Noite,Quarta-Manhã,Quinta-Manhã,Sexta-Noite"
Prof. Teixeira,"Português,História","Segunda-Manhã,Terça-Manhã,Quarta-Noite,Quinta-Noite,Sexta-Noite"
Prof. Nunes,Matemática,"Segunda-Noite,Terça-Noite,Quarta-Noite,Quinta-Noite,Sexta-Noite"
Prof. Lopes,"Física,Química","Segunda-Manhã,Terça-Manhã,Quarta-Manhã,Quinta-Noite,Sexta-Manhã"
Claudiano,Física,"Segunda-Manhã,Terça-Manhã,Quarta-Manhã"
testeju,testeju,testeju
Fernando,Geografia,Segunda-Manhã
